plot.year,treatment,year,Acer.saccharum,Acer.rubrum,Pyrola.elliptica,Taraxacum,Sorbus.americana,Ajuga.reptans,Arisaema.triphyllum,Parthenocissus.inserta,Prunus.virginiana,Fraxinus.pennsylvanica,Hieracium,Viola.sororia,Quercus.rubra,Lysimachia.borealis,Abies.balsamea,Solanum.dulcamara,Equisetum.arvense,Galium,Fallopia.cilinodis,Rubus.canadensis,Maianthemum.racemosum,Maianthemum.canadense,Lonicera.canadensis,Betula.alleghaniensis,Alliaria.petiolata,Viburnum.prunifolium,Acer.spicatum,Viburnum.opulus,Cornus.alternifolia,Dryopteris.carthusiana,Picea.mariana,Carex,Vinca.minor
AU-In-1.2020,invaded,2020,0,3.846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.15384615
AU-Ed-1.2020,edge,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
AU-Un-1.2020,uninvaded,2020,5.791505792,0,0,0,0,0,0,0,77.22007722,0,11.58301158,4.633204633,0.772200772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU-In-2.2020,invaded,2020,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
AU-Ed-2.2020,edge,2020,9.836065574,0.546448087,0,0,0,0,0,0,2.18579235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.43169399
AU-Un-2.2020,uninvaded,2020,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU-In-3.2020,invaded,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
AU-Ed-3.2020,edge,2020,3.069466882,0,0,0,0,0,0,0,56.54281099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.38772213
AU-Un-3.2020,uninvaded,2020,88.07749627,0,0,0,0,0,0,0,11.92250373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU-In-4.2020,invaded,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
AU-Ed-4.2020,edge,2020,0.71942446,0,0,0,0,0,0,0,7.194244604,0,0,0,0,2.877697842,2.877697842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.33093525
AU-Un-4.2020,uninvaded,2020,0,0,0,0,0,0,0,0,0.636942675,0,0,0,0,0,0,95.54140127,3.184713376,0.636942675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU-In-5.2020,invaded,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
AU-Ed-5.2020,edge,2020,0,0,0,0,0,0,0,0,2.063273728,0,0,0,0,0,0,0,0,0,1.650618982,13.75515818,0,0,0,0,0,0,0,0,0,0,0,0,82.53094911
AU-Un-5.2020,uninvaded,2020,77.52808989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.47191011,0,0,0,0,0,0,0,0,0,0,0
AU-In-6.2020,invaded,2020,10.08403361,0,0,0,0,0,0,0,1.680672269,0,0,0,0,0,0,0,0,0,0,0,0,0,4.201680672,0,0,0,0,0,0,0,0,0,84.03361345
AU-Ed-6.2020,edge,2020,9.289980093,0,0,0,0,0,0,0,6.635700066,0,0,0,0,0.796284008,0,0,0,0,1.327140013,0,0,0.99535501,0,1.327140013,0,0,0,0,0,0,0,0,79.6284008
AU-Un-6.2020,uninvaded,2020,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU-In-7.2020,invaded,2020,0,0,0,0,0,0,0,0,1.01010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.98989899
AU-Ed-7.2020,edge,2020,6.976744186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.02325581
AU-Un-7.2020,uninvaded,2020,0,20.83333333,0,0,0,0,0,0,66.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0
AU-In-8.2020,invaded,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
AU-Ed-8.2020,edge,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.380952381,0,0,0,0,0,0,0,0,2.380952381,0,0,0,0,0,0,0,95.23809524
AU-Un-8.2020,uninvaded,2020,3.571428571,0,0,0,0,0,0,0,53.57142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.85714286,0,0,0,0,0,0
AU-In-9.2020,invaded,2020,7.359705612,0,0,0,0,0,0,0,0.643974241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.99632015
AU-Ed-9.2020,edge,2020,0,0,0,0,0,0,0,0,0,0,1.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.73684211,0,0,0,0,84.21052632
AU-Un-9.2020,uninvaded,2020,68.18181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.81818182,0,0,0,0
AU-In-10.2020,invaded,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904762,0,0,95.23809524
AU-Un-10.2020,uninvaded,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.33333333,3.333333333,3.333333333,5,0
AU-In-1.2023,invaded,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
AU-Ed-1.2023,edge,2023,23.07692308,0,0,0,0,0,0,0,12.82051282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.1025641
AU-Un-1.2023,uninvaded,2023,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU-In-2.2023,invaded,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
AU-Ed-2.2023,edge,2023,69.23076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76923077
AU-Un-2.2023,uninvaded,2023,95.23809524,0,0,0,0,0,0,0,4.761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU-In-3.2023,invaded,2023,0,0,0,0,0,0,0,0,1.960784314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.03921569
AU-Ed-3.2023,edge,2023,2.43902439,0,0,0,0,0,0,0,85.36585366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.19512195
AU-Un-3.2023,uninvaded,2023,2.173913043,0,0,0,0,0,0,0,97.82608696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU-In-4.2023,invaded,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
AU-Ed-4.2023,edge,2023,0,0,0,0,16.52892562,0,0,0,0.826446281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.6446281
AU-Un-4.2023,uninvaded,2023,0.877192982,0,12.28070175,0,0,0,0,0,17.54385965,0,0,0,0,0,0,0,7.01754386,0,0,8.771929825,0,0,0,0,0,0.877192982,0,0,0,0,0,52.63157895,0
AU-In-6.2023,invaded,2023,0,0,0,0.877192982,0,0,0,0,0,8.771929825,0,0,0,0,0,0,2.631578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.71929825
AU-Un-6.2023,uninvaded,2023,0,0,0,0,38.25136612,0,0,0,27.32240437,0,0,0,0,0.546448087,0,0,0,0,0,0,10.92896175,1.092896175,0,21.8579235,0,0,0,0,0,0,0,0,0
AU-In-7.2023,invaded,2023,10.71428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.28571429
AU-Ed-7.2023,edge,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.315789474,0,0,46.05263158,0,0,0,0,0,0,0,0,0,0,13.15789474,0,39.47368421
AU-Un-7.2023,uninvaded,2023,0,0,0,0,0,42.85714286,0,2.857142857,42.85714286,0,0,0,0,0,0,0,1.428571429,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
AU-In-8.2023,invaded,2023,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
AU-Ed-8.2023,edge,2023,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
AU-Un-8.2023,uninvaded,2023,0,6.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.33333333,0,0,0,0,0,0,0,0,0,0
AU-In-9.2023,invaded,2023,0,0,0,0,0,0,0.99009901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.00990099
AU-Ed-9.2023,edge,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098901099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.9010989
AU-Un-9.2023,uninvaded,2023,41.66666667,52.08333333,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU-In-10.2023,invaded,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
